
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196306  0.044400 -0.015100 -0.015300 -0.027000 -0.015600 -0.002500 -0.019800 -0.020800 -0.020100 -0.016000 -0.015000 -0.007100 -0.022100 -0.030800 -0.012200 -0.016600 -0.015700 -0.028900 -0.031900  0.007400 -0.034100 -0.011600 -0.010200 -0.017700  0.001300 -0.020300 -0.001800  0.008100 -0.000400  0.002000  0.011500
196307  0.000800  0.005800  0.002700 -0.001800 -0.016900 -0.017500 -0.005900 -0.011000 -0.021300 -0.016400 -0.018900 -0.017800 -0.012100 -0.024000 -0.020700 -0.009500 -0.019100 -0.023800 -0.021000 -0.021300 -0.001400  0.002000  0.009000 -0.009100 -0.013800 -0.004400 -0.004500 -0.011700  0.000400  0.000100  0.010400
196308  0.030700  0.015800  0.010000  0.023700  0.045000  0.053900  0.049900  0.041900  0.040800  0.077400  0.050200  0.038500  0.048700  0.047800  0.049000  0.052800  0.046800  0.057800  0.067700  0.050900  0.055000  0.039900  0.044000  0.076200  0.060000  0.050200 -0.010300  0.018000 -0.000400  0.001000  0.011600
196309 -0.025100 -0.002300 -0.012900 -0.018200 -0.005000 -0.044100 -0.014900 -0.009600 -0.021900 -0.028100 -0.046100 -0.017400 -0.004300 -0.011700 -0.020900 -0.027100 -0.022500 -0.022700 -0.036400 -0.022600 -0.016600 -0.010400 -0.012500 -0.003800 -0.040800 -0.014600 -0.002100  0.000800 -0.002300 -0.005000  0.000800
196310  0.018200 -0.006000  0.010800  0.000800  0.019300  0.004600  0.040700  0.020500  0.021500  0.037200  0.017100  0.000500  0.024000  0.012900  0.007800 -0.007600  0.005000  0.021700  0.043600  0.003400  0.050700  0.014300 -0.005200  0.021200  0.001900  0.024800 -0.007000 -0.002000 -0.005500  0.002000  0.031300
196311 -0.031200 -0.044600 -0.017600 -0.014900 -0.012700 -0.045700 -0.022300 -0.009600 -0.002400 -0.004000 -0.032500 -0.016600 -0.012100 -0.014900 -0.014800 -0.012300 -0.012300 -0.006500  0.005400  0.032400 -0.015500  0.007100 -0.018400 -0.023700  0.010700 -0.008300 -0.012100  0.016200  0.002400 -0.001200 -0.007400
196312 -0.032900 -0.007400 -0.010100 -0.018700 -0.015200 -0.010000 -0.014800  0.009300  0.006800 -0.000800  0.001700  0.008500  0.012500  0.010900  0.001800 -0.005300  0.012100  0.011500  0.022700  0.058500  0.022900  0.020200  0.019700  0.022900  0.020800  0.018800 -0.021700  0.000500 -0.003500 -0.006300  0.016800
196401  0.046200  0.030800  0.035700  0.041400  0.042700 -0.024800 -0.006500  0.033000  0.011700  0.038100  0.006300  0.002300  0.022600  0.035200  0.029100 -0.004600  0.014600  0.010300  0.030500  0.030200  0.027700  0.028600  0.015500  0.018100  0.011100  0.022800 -0.002700  0.013700 -0.004400  0.005700  0.010700
196402  0.029300  0.022200  0.021100  0.000900  0.048000  0.013600  0.013700  0.021400  0.017800  0.047100  0.002700  0.027700  0.014300  0.033900  0.037500  0.025200  0.009500  0.029900  0.073200  0.043400  0.015500  0.002600  0.007600  0.035500  0.037000  0.014600 -0.000400  0.027900 -0.003700  0.002800  0.002600
196403 -0.001000  0.007400  0.018500  0.030700  0.023000  0.022300  0.031500  0.033700  0.056500  0.063700 -0.010200  0.021900  0.043100  0.047100  0.064100  0.016000  0.024300  0.053100  0.060600  0.004400  0.008800  0.003700  0.036200  0.035000 -0.006900  0.014500  0.009400  0.029400  0.000600 -0.009300  0.007400
196404 -0.015900  0.020400 -0.003000 -0.010200 -0.012200 -0.013300 -0.044800  0.003100 -0.021200 -0.009600 -0.025900 -0.016900  0.000100 -0.010900 -0.013100 -0.029400  0.004200  0.012500 -0.016200 -0.025500 -0.000200  0.012300  0.003600 -0.012600  0.025400  0.001700 -0.013700 -0.006700  0.001800  0.001100 -0.006100
196405 -0.017100 -0.010000  0.001900  0.000200  0.013000  0.027600 -0.001200  0.026300  0.009300  0.035400 -0.004900  0.011000 -0.009100  0.014000  0.022300  0.012800  0.020100  0.010200  0.016600  0.038400  0.017700  0.000600  0.009800  0.038800  0.032200  0.014800 -0.007500  0.012300  0.002400  0.003100  0.026200
